subject,trialcode,correct,latency,stimulusitem1
918119646,unpleasant,1,474,unpleasant9.jpg
918119646,neutral,0,477,N106.bmp
918119646,pleasant,1,505,pleasant10.jpg
918119646,pleasant,1,480,pleasant3.jpg
918119646,neutral,0,485,N092.bmp
918119646,white,1,583,white2.png
918119646,unpleasant,1,536,unpleasant12.jpg
918119646,pleasant,1,493,pleasant10.jpg
918119646,neutral,0,521,N020.bmp
918119646,black,1,633,black2.png
918119646,neutral,0,568,N011.bmp
918119646,pleasant,1,477,pleasant1.jpg
918119646,pleasant,1,441,pleasant7.jpg
918119646,white,0,499,white3.png
918119646,neutral,0,586,N089.bmp
918119646,neutral,0,755,N101.bmp
918119646,pleasant,1,496,pleasant3.jpg
918119646,unpleasant,1,464,unpleasant12.jpg
918119646,black,0,332,black1.png
918119646,unpleasant,1,522,unpleasant11.jpg
918119646,pleasant,1,615,pleasant1.jpg
918119646,neutral,0,505,N039.bmp
918119646,neutral,1,653,N081.bmp
918119646,neutral,1,575,N102.bmp
918119646,neutral,1,457,N061.bmp
918119646,black,1,545,black4.png
918119646,unpleasant,1,525,unpleasant9.jpg
918119646,neutral,0,377,N101.bmp
918119646,pleasant,1,427,pleasant7.jpg
918119646,neutral,0,509,N106.bmp
918119646,neutral,0,612,N011.bmp
918119646,black,1,525,black3.png
918119646,pleasant,1,477,pleasant10.jpg
918119646,neutral,0,800,N039.bmp
918119646,neutral,0,508,N089.bmp
918119646,pleasant,1,413,pleasant3.jpg
918119646,unpleasant,0,450,unpleasant10.jpg
918119646,black,1,715,black4.png
918119646,unpleasant,1,487,unpleasant12.jpg
918119646,white,0,667,white1.png
918119646,neutral,0,524,N092.bmp
918119646,pleasant,1,452,pleasant3.jpg
918119646,neutral,0,608,N061.bmp
918119646,white,0,359,white4.png
918119646,pleasant,1,476,pleasant7.jpg
918119646,neutral,0,516,N081.bmp
918119646,white,0,378,white4.png
918119646,unpleasant,1,529,unpleasant10.jpg
918119646,unpleasant,1,446,unpleasant9.jpg
918119646,black,0,356,black3.png
918119646,white,0,409,white3.png
918119646,pleasant,1,539,pleasant10.jpg
918119646,neutral,1,613,N020.bmp
918119646,unpleasant,0,514,unpleasant11.jpg
918119646,unpleasant,1,514,unpleasant10.jpg
918119646,pleasant,1,444,pleasant1.jpg
918119646,neutral,0,491,N102.bmp
918119646,unpleasant,1,420,unpleasant12.jpg
918119646,pleasant,0,455,pleasant10.jpg
918119646,unpleasant,1,511,unpleasant11.jpg
918119646,neutral,1,716,N011.bmp
918119646,unpleasant,1,495,unpleasant9.jpg
918119646,white,0,383,white2.png
918119646,neutral,0,469,N081.bmp
918119646,white,0,384,white1.png
918119646,black,0,580,black2.png
918119646,unpleasant,1,482,unpleasant10.jpg
918119646,pleasant,1,342,pleasant1.jpg
918119646,black,0,292,black1.png
918119646,neutral,0,401,N039.bmp
918119646,white,0,309,white1.png
918119646,unpleasant,1,439,unpleasant12.jpg
918119646,black,0,293,black4.png
918119646,white,0,280,white3.png
918119646,white,0,260,white4.png
918119646,white,0,320,white2.png
918119646,pleasant,1,469,pleasant7.jpg
918119646,pleasant,1,430,pleasant3.jpg
918119646,neutral,1,455,N106.bmp
918119646,black,1,385,black2.png
918119646,unpleasant,1,544,unpleasant11.jpg
918119646,white,0,319,white4.png
918119646,black,0,342,black3.png
918119646,pleasant,1,426,pleasant1.jpg
918119646,pleasant,1,428,pleasant7.jpg
918119646,neutral,1,427,N101.bmp
918119646,pleasant,1,494,pleasant3.jpg
918119646,black,1,525,black1.png
918119646,neutral,1,491,N092.bmp
918119646,neutral,1,417,N061.bmp
918119646,unpleasant,1,402,unpleasant9.jpg
918119646,pleasant,0,339,pleasant10.jpg
918119646,pleasant,1,550,pleasant10.jpg
918119646,unpleasant,1,388,unpleasant10.jpg
918119646,neutral,0,452,N020.bmp
918119646,unpleasant,1,497,unpleasant9.jpg
918119646,unpleasant,1,441,unpleasant11.jpg
918119646,unpleasant,1,493,unpleasant12.jpg
918119646,neutral,0,380,N089.bmp
918119646,neutral,0,387,N102.bmp
918119646,unpleasant,1,386,unpleasant12.jpg
918119646,neutral,0,262,N089.bmp
918119646,unpleasant,1,394,unpleasant10.jpg
918119646,unpleasant,1,403,unpleasant11.jpg
918119646,unpleasant,1,515,unpleasant9.jpg
918119646,pleasant,1,482,pleasant3.jpg
918119646,unpleasant,1,496,unpleasant10.jpg
918119646,pleasant,1,344,pleasant1.jpg
918119646,pleasant,0,428,pleasant7.jpg
918119646,white,0,522,white2.png
918119646,neutral,0,467,N092.bmp
918119646,neutral,0,400,N106.bmp
918119646,neutral,0,368,N061.bmp
918119646,pleasant,1,480,pleasant7.jpg
918119646,black,1,403,black1.png
918119646,unpleasant,1,746,unpleasant12.jpg
918119646,unpleasant,1,583,unpleasant11.jpg
918119646,neutral,0,608,N039.bmp
918119646,unpleasant,1,581,unpleasant9.jpg
918119646,neutral,0,456,N102.bmp
918119646,unpleasant,0,584,unpleasant9.jpg
918119646,pleasant,1,540,pleasant1.jpg
918119646,neutral,0,575,N020.bmp
918119646,unpleasant,1,475,unpleasant10.jpg
918119646,neutral,0,450,N101.bmp
918119646,unpleasant,1,600,unpleasant12.jpg
918119646,unpleasant,1,495,unpleasant11.jpg
918119646,unpleasant,1,664,unpleasant12.jpg
918119646,unpleasant,1,451,unpleasant9.jpg
918119646,pleasant,1,553,pleasant10.jpg
918119646,unpleasant,1,449,unpleasant10.jpg
918119646,unpleasant,1,701,unpleasant11.jpg
918119646,pleasant,1,521,pleasant3.jpg
918119646,pleasant,1,471,pleasant1.jpg
918119646,white,0,423,white3.png
918119646,neutral,0,529,N011.bmp
918119646,pleasant,1,512,pleasant3.jpg
918119646,neutral,1,441,N081.bmp
918119646,pleasant,1,569,pleasant10.jpg
918119646,unpleasant,0,416,unpleasant10.jpg
918119646,white,0,496,white1.png
918119646,neutral,0,608,N020.bmp
918119646,neutral,0,440,N061.bmp
918119646,neutral,0,554,N089.bmp
918119646,neutral,0,408,N101.bmp
918119646,neutral,0,428,N106.bmp
918119646,pleasant,1,590,pleasant7.jpg
918119646,unpleasant,1,513,unpleasant12.jpg
918119646,unpleasant,1,539,unpleasant11.jpg
918119646,black,0,364,black2.png
918119646,neutral,0,383,N081.bmp
918119646,pleasant,1,523,pleasant3.jpg
918119646,unpleasant,1,557,unpleasant9.jpg
918119646,pleasant,1,566,pleasant10.jpg
918119646,pleasant,1,566,pleasant7.jpg
918119646,neutral,1,578,N039.bmp
918119646,pleasant,1,721,pleasant1.jpg
918119646,white,1,638,white2.png
918119646,neutral,1,439,N092.bmp
918119646,neutral,1,461,N102.bmp
918119646,white,1,352,white4.png
918119646,neutral,1,432,N011.bmp
918119646,unpleasant,1,553,unpleasant12.jpg
918119646,pleasant,1,491,pleasant3.jpg
918119646,neutral,0,547,N089.bmp
918119646,pleasant,1,754,pleasant1.jpg
918119646,unpleasant,1,488,unpleasant10.jpg
918119646,unpleasant,0,481,unpleasant9.jpg
918119646,unpleasant,1,524,unpleasant11.jpg
918119646,neutral,0,647,N039.bmp
918119646,white,0,470,white3.png
918119646,black,0,356,black3.png
918119646,black,0,381,black4.png
918119646,pleasant,0,323,pleasant7.jpg
918119646,neutral,0,475,N106.bmp
918119646,unpleasant,1,638,unpleasant9.jpg
918119646,neutral,0,375,N061.bmp
918119646,pleasant,1,450,pleasant10.jpg
918119646,neutral,0,525,N011.bmp
918119646,unpleasant,0,800,unpleasant12.jpg
918119646,pleasant,1,578,pleasant1.jpg
918119646,unpleasant,1,401,unpleasant11.jpg
918119646,black,0,345,black1.png
918119646,black,0,387,black2.png
918119646,pleasant,1,482,pleasant3.jpg
918119646,neutral,0,503,N081.bmp
918119646,unpleasant,1,359,unpleasant10.jpg
918119646,unpleasant,1,454,unpleasant12.jpg
918119646,unpleasant,1,445,unpleasant9.jpg
918119646,unpleasant,1,358,unpleasant10.jpg
918119646,neutral,0,374,N101.bmp
918119646,black,0,460,black4.png
918119646,neutral,0,800,N020.bmp
918119646,black,0,358,black3.png
918119646,unpleasant,1,414,unpleasant11.jpg
918119646,black,0,381,black1.png
918119646,unpleasant,1,399,unpleasant9.jpg
918119646,pleasant,1,762,pleasant7.jpg
918119646,neutral,0,390,N092.bmp
918119646,pleasant,1,500,pleasant10.jpg
918119646,neutral,1,427,N102.bmp
918119646,neutral,1,415,N011.bmp
918119646,neutral,1,428,N061.bmp
918119646,black,1,389,black3.png
918119646,pleasant,1,534,pleasant1.jpg
918119646,pleasant,1,363,pleasant7.jpg
918119646,pleasant,1,474,pleasant3.jpg
918119646,pleasant,1,433,pleasant10.jpg
918119646,neutral,1,520,N020.bmp
918119646,neutral,1,419,N102.bmp
918119646,pleasant,1,411,pleasant10.jpg
918119646,neutral,1,371,N092.bmp
918119646,neutral,1,453,N101.bmp
918119646,white,1,392,white1.png
918119646,neutral,1,399,N089.bmp
918119646,white,1,478,white3.png
918119646,unpleasant,0,410,unpleasant11.jpg
918119646,unpleasant,1,441,unpleasant10.jpg
918119646,black,0,421,black4.png
918119646,unpleasant,1,484,unpleasant12.jpg
918119646,pleasant,1,583,pleasant3.jpg
918119646,white,1,347,white4.png
918119646,neutral,1,556,N039.bmp
918119646,pleasant,1,555,pleasant7.jpg
918119646,pleasant,1,393,pleasant1.jpg
918119646,neutral,1,440,N106.bmp
918119646,white,1,647,white2.png
918119646,unpleasant,1,590,unpleasant11.jpg
918119646,neutral,0,524,N081.bmp
918119646,neutral,0,555,N092.bmp
918119646,pleasant,1,496,pleasant3.jpg
918119646,black,0,547,black2.png
918119646,pleasant,0,388,pleasant7.jpg
918119646,pleasant,1,464,pleasant1.jpg
918119646,pleasant,1,465,pleasant10.jpg
918119646,pleasant,1,352,pleasant1.jpg
918119646,neutral,0,480,N081.bmp
918119646,pleasant,1,796,pleasant7.jpg
918119646,pleasant,1,466,pleasant10.jpg
918119646,pleasant,1,428,pleasant3.jpg
918119646,pleasant,1,341,pleasant1.jpg
918119646,neutral,1,361,N061.bmp
918119646,unpleasant,1,481,unpleasant12.jpg
918119646,unpleasant,1,416,unpleasant10.jpg
918119646,unpleasant,0,535,unpleasant9.jpg
918119646,white,0,483,white1.png
918119646,unpleasant,1,644,unpleasant9.jpg
918119646,neutral,0,394,N020.bmp
918119646,unpleasant,1,374,unpleasant12.jpg
918119646,white,0,392,white4.png
410460513,unpleasant,1,581,unpleasant9.jpg
410460513,unpleasant,1,466,unpleasant10.jpg
410460513,black,1,663,black1.png
410460513,neutral,0,771,N101.bmp
410460513,black,1,600,black2.png
410460513,unpleasant,1,645,unpleasant10.jpg
410460513,pleasant,1,521,pleasant10.jpg
410460513,black,1,475,black3.png
410460513,pleasant,1,600,pleasant1.jpg
410460513,pleasant,1,577,pleasant7.jpg
410460513,neutral,0,579,N020.bmp
410460513,unpleasant,1,534,unpleasant12.jpg
410460513,neutral,0,537,N081.bmp
410460513,pleasant,1,642,pleasant10.jpg
410460513,white,1,492,white2.png
410460513,white,1,490,white4.png
410460513,unpleasant,1,561,unpleasant9.jpg
410460513,unpleasant,1,602,unpleasant11.jpg
410460513,pleasant,1,612,pleasant3.jpg
410460513,neutral,0,554,N039.bmp
410460513,unpleasant,1,578,unpleasant12.jpg
410460513,pleasant,1,550,pleasant1.jpg
410460513,neutral,0,579,N011.bmp
410460513,pleasant,1,604,pleasant3.jpg
410460513,white,1,573,white1.png
410460513,neutral,0,602,N089.bmp
410460513,neutral,0,588,N092.bmp
410460513,unpleasant,1,698,unpleasant9.jpg
410460513,black,1,547,black4.png
410460513,black,1,495,black1.png
410460513,pleasant,1,654,pleasant1.jpg
410460513,neutral,0,606,N106.bmp
410460513,pleasant,1,625,pleasant7.jpg
410460513,pleasant,0,800,pleasant10.jpg
410460513,unpleasant,0,800,unpleasant10.jpg
410460513,pleasant,1,591,pleasant10.jpg
410460513,black,1,505,black3.png
410460513,unpleasant,1,601,unpleasant11.jpg
410460513,pleasant,1,514,pleasant3.jpg
410460513,unpleasant,1,537,unpleasant10.jpg
410460513,unpleasant,1,569,unpleasant12.jpg
410460513,neutral,0,593,N061.bmp
410460513,unpleasant,1,559,unpleasant11.jpg
410460513,white,1,491,white3.png
410460513,white,0,746,white3.png
410460513,unpleasant,0,800,unpleasant9.jpg
410460513,neutral,0,664,N102.bmp
410460513,unpleasant,1,552,unpleasant12.jpg
410460513,neutral,0,498,N106.bmp
410460513,unpleasant,1,786,unpleasant10.jpg
410460513,black,1,526,black4.png
410460513,unpleasant,1,707,unpleasant11.jpg
410460513,pleasant,1,574,pleasant7.jpg
410460513,neutral,0,773,N101.bmp
410460513,black,1,505,black2.png
410460513,black,1,448,black1.png
410460513,black,1,453,black4.png
410460513,pleasant,1,546,pleasant1.jpg
410460513,white,1,556,white1.png
410460513,unpleasant,1,599,unpleasant9.jpg
410460513,black,1,477,black3.png
410460513,neutral,0,532,N011.bmp
410460513,white,1,677,white4.png
410460513,pleasant,1,657,pleasant10.jpg
410460513,pleasant,1,567,pleasant7.jpg
410460513,unpleasant,1,659,unpleasant11.jpg
410460513,unpleasant,1,551,unpleasant9.jpg
410460513,neutral,0,800,N092.bmp
410460513,pleasant,1,498,pleasant1.jpg
410460513,black,1,691,black2.png
410460513,neutral,0,730,N039.bmp
410460513,pleasant,1,597,pleasant3.jpg
410460513,neutral,1,700,N089.bmp
410460513,pleasant,1,509,pleasant10.jpg
410460513,neutral,1,591,N081.bmp
410460513,pleasant,1,465,pleasant3.jpg
410460513,pleasant,1,620,pleasant1.jpg
410460513,white,1,615,white2.png
410460513,pleasant,1,440,pleasant7.jpg
410460513,pleasant,1,421,pleasant3.jpg
410460513,neutral,0,625,N102.bmp
410460513,white,0,800,white4.png
410460513,unpleasant,1,667,unpleasant10.jpg
410460513,unpleasant,1,508,unpleasant12.jpg
410460513,pleasant,1,566,pleasant10.jpg
410460513,neutral,0,570,N061.bmp
410460513,black,1,569,black1.png
410460513,neutral,0,668,N020.bmp
410460513,neutral,0,676,N092.bmp
410460513,pleasant,1,561,pleasant7.jpg
410460513,neutral,0,644,N081.bmp
410460513,neutral,0,427,N106.bmp
410460513,pleasant,1,538,pleasant1.jpg
410460513,pleasant,1,566,pleasant10.jpg
410460513,neutral,1,586,N089.bmp
410460513,neutral,1,666,N011.bmp
410460513,black,1,573,black2.png
410460513,neutral,1,615,N102.bmp
410460513,neutral,1,633,N039.bmp
410460513,neutral,1,558,N101.bmp
410460513,white,0,797,white3.png
410460513,pleasant,1,617,pleasant3.jpg
410460513,pleasant,1,712,pleasant1.jpg
410460513,unpleasant,1,632,unpleasant10.jpg
410460513,neutral,0,532,N061.bmp
410460513,black,1,643,black3.png
410460513,unpleasant,1,571,unpleasant9.jpg
410460513,black,1,789,black4.png
410460513,neutral,0,574,N020.bmp
410460513,neutral,0,506,N020.bmp
410460513,neutral,1,773,N039.bmp
410460513,white,1,539,white1.png
410460513,neutral,1,520,N089.bmp
410460513,neutral,1,594,N081.bmp
410460513,black,1,640,black3.png
410460513,white,1,482,white2.png
410460513,neutral,0,703,N102.bmp
410460513,neutral,0,510,N011.bmp
410460513,black,0,441,black2.png
410460513,unpleasant,0,800,unpleasant11.jpg
410460513,white,0,800,white1.png
410460513,unpleasant,1,538,unpleasant12.jpg
410460513,unpleasant,1,390,unpleasant10.jpg
410460513,neutral,0,583,N101.bmp
410460513,white,1,561,white2.png
410460513,unpleasant,1,603,unpleasant9.jpg
410460513,pleasant,1,635,pleasant7.jpg
410460513,unpleasant,1,542,unpleasant12.jpg
410460513,unpleasant,1,486,unpleasant11.jpg
410460513,unpleasant,1,665,unpleasant11.jpg
410460513,neutral,0,679,N061.bmp
410460513,black,1,596,black4.png
410460513,pleasant,1,564,pleasant1.jpg
410460513,neutral,0,630,N106.bmp
410460513,pleasant,1,607,pleasant3.jpg
410460513,pleasant,1,553,pleasant7.jpg
410460513,neutral,0,539,N092.bmp
410460513,black,1,520,black1.png
410460513,unpleasant,1,544,unpleasant12.jpg
410460513,unpleasant,1,558,unpleasant10.jpg
410460513,white,1,435,white4.png
410460513,pleasant,1,554,pleasant10.jpg
410460513,unpleasant,1,605,unpleasant9.jpg
410460513,white,1,583,white3.png
410460513,pleasant,0,511,pleasant3.jpg
410460513,neutral,0,797,N039.bmp
410460513,white,1,610,white3.png
410460513,white,1,579,white1.png
410460513,unpleasant,1,580,unpleasant9.jpg
410460513,neutral,0,551,N081.bmp
410460513,neutral,0,583,N089.bmp
410460513,unpleasant,1,631,unpleasant11.jpg
410460513,unpleasant,1,515,unpleasant12.jpg
410460513,black,1,543,black2.png
410460513,unpleasant,1,729,unpleasant10.jpg
410460513,pleasant,1,576,pleasant1.jpg
410460513,pleasant,1,543,pleasant10.jpg
410460513,unpleasant,0,414,unpleasant9.jpg
410460513,pleasant,1,616,pleasant7.jpg
410460513,neutral,0,663,N101.bmp
410460513,neutral,0,632,N020.bmp
410460513,white,1,621,white2.png
410460513,neutral,0,536,N092.bmp
410460513,unpleasant,1,672,unpleasant12.jpg
410460513,unpleasant,1,574,unpleasant10.jpg
410460513,black,1,428,black3.png
410460513,white,1,763,white4.png
410460513,unpleasant,1,533,unpleasant11.jpg
410460513,neutral,0,603,N106.bmp
410460513,pleasant,1,580,pleasant7.jpg
410460513,neutral,0,615,N061.bmp
410460513,neutral,0,570,N011.bmp
410460513,pleasant,1,554,pleasant1.jpg
410460513,unpleasant,1,713,unpleasant10.jpg
410460513,neutral,0,564,N102.bmp
410460513,pleasant,1,517,pleasant10.jpg
410460513,pleasant,1,564,pleasant3.jpg
410460513,pleasant,1,466,pleasant7.jpg
410460513,pleasant,1,513,pleasant3.jpg
410460513,neutral,0,516,N102.bmp
410460513,pleasant,1,619,pleasant1.jpg
410460513,pleasant,1,593,pleasant10.jpg
410460513,neutral,0,547,N011.bmp
410460513,neutral,0,549,N106.bmp
410460513,neutral,0,679,N039.bmp
410460513,neutral,0,517,N089.bmp
410460513,pleasant,1,690,pleasant1.jpg
410460513,pleasant,1,540,pleasant10.jpg
410460513,pleasant,1,422,pleasant3.jpg
410460513,unpleasant,1,596,unpleasant9.jpg
410460513,neutral,0,545,N092.bmp
410460513,neutral,0,700,N101.bmp
410460513,pleasant,1,590,pleasant7.jpg
410460513,unpleasant,1,612,unpleasant11.jpg
410460513,pleasant,1,540,pleasant7.jpg
410460513,unpleasant,1,470,unpleasant12.jpg
410460513,neutral,0,468,N061.bmp
410460513,black,1,535,black1.png
410460513,neutral,0,629,N081.bmp
410460513,unpleasant,1,562,unpleasant12.jpg
410460513,pleasant,1,496,pleasant1.jpg
410460513,unpleasant,1,574,unpleasant11.jpg
410460513,unpleasant,1,569,unpleasant10.jpg
410460513,neutral,1,484,N020.bmp
410460513,pleasant,1,520,pleasant10.jpg
410460513,white,1,518,white2.png
410460513,unpleasant,1,502,unpleasant9.jpg
410460513,neutral,0,486,N011.bmp
410460513,neutral,0,451,N061.bmp
410460513,white,0,800,white3.png
410460513,pleasant,1,648,pleasant3.jpg
410460513,neutral,0,561,N092.bmp
