"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"031319","11:44:57","684060849","154435111","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","dew","1","1330","0"
"031319","11:44:57","684060849","154435111","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","fe","1","1434","0"
"031319","11:44:57","684060849","154435111","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","fe","1","672","0"
"031319","10:59:39","947604216","918119646","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5c1d289f2c45d40001473f0d","1","73762","0"
"031319","10:59:39","947604216","918119646","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","20","1","6266","0"
"031319","10:59:39","947604216","918119646","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4513","0"
"031319","11:07:46","938957815","410460513","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5c49e145b54bd00001badf83","1","71055","0"
"031319","11:07:46","938957815","410460513","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","23 ","1","5702","0"
"031319","11:07:46","938957815","410460513","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4345","0"
"031319","11:27:41","422210082","927208245","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","583b08c8dd48b20001b12857","1","9866","0"
"031319","11:27:41","422210082","927208245","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","20","1","3487","0"
"031319","11:27:41","422210082","927208245","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2678","0"
"031319","11:28:27","147089997","275419729","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b43619047745e0001e25eba","1","5193","0"
"031319","11:28:27","147089997","275419729","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","9011","0"
"031319","11:28:27","147089997","275419729","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","FEMALE","1","11141","0"
"031319","11:28:56","405595892","136535858","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57b75b0383e3ed00019b0d67","1","2709","0"
"031319","11:28:56","405595892","136535858","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","33","1","3022","0"
"031319","11:28:56","405595892","136535858","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","6234","0"
"031319","11:30:48","557626707","333573261","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b655167dc84c6000173c4d8","1","25531","0"
"031319","11:30:48","557626707","333573261","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","5958","0"
"031319","11:30:48","557626707","333573261","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3890","0"
"031319","11:32:01","571546897","702310898","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","59819492fc90e000011c5d04 ","1","36620","0"
"031319","11:32:01","571546897","702310898","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","4293","0"
"031319","11:32:01","571546897","702310898","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5558","0"
"031319","11:34:36","516645082","85657314","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","56e99d054111eb000c77885b","1","10118","0"
"031319","11:34:36","516645082","85657314","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","45","1","4691","0"
"031319","11:34:36","516645082","85657314","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","FEMALE","1","5805","0"
"031319","11:34:53","958914906","17040152","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","","1","53704","0"
"031319","11:36:06","958914906","17040152","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ac3b688fa3b4e0001735a24","1","3011","0"
"031319","11:36:06","958914906","17040152","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","24","1","2984","0"
"031319","11:36:06","958914906","17040152","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4567","0"
"031319","05:35:33","408962756","582774425","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b2bb00bfc75870001983add","1","35284","0"
"031319","05:35:33","408962756","582774425","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","5481","0"
"031319","05:35:33","408962756","582774425","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","5620","0"
"031319","11:36:05","344491254","695360630","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","59d75f6be3a465000104b4e2","1","31799","0"
"031319","11:36:05","344491254","695360630","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","3826","0"
"031319","11:36:05","344491254","695360630","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3693","0"
"031319","11:36:56","512822098","480092920","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5601478877f33b0010cb2bfc","1","12983","0"
"031319","11:36:56","512822098","480092920","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","54","1","7792","0"
"031319","11:36:56","512822098","480092920","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","9689","0"
"031319","11:39:23","985987574","898435423","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57cd4bad3be60c0001015554","1","10098","0"
"031319","11:39:23","985987574","898435423","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","3340","0"
"031319","11:39:23","985987574","898435423","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4497","0"
"031319","11:41:11","947122830","759411691","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5bb78bfc2638cf00015aff45","1","10585","0"
"031319","11:41:11","947122830","759411691","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","23","1","2178","0"
"031319","11:41:11","947122830","759411691","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3023","0"
"031319","11:41:34","113772914","593939458","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5630b79b733ea00011164946","1","6028","0"
"031319","11:41:34","113772914","593939458","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","1976","0"
